PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,3,"Garcia, Mrs. Nora",female,26.45,1,0,311179,14.6516,B137,S
2,0,2,"Robinson, Mr. John",male,24.95,1,0,267317,14.743,B116,S
3,0,3,"Wilson, Mr. Robert",male,44.21,0,0,405722,6.2851,,S
4,1,3,"Taylor, Miss. Nora",female,31.59,1,0,897086,20.3408,,S
5,1,1,"Martin, Miss. Helen",female,20.95,2,0,551582,77.9003,,C
6,0,3,"Moore, Mr. Thomas",male,33.73,1,0,613093,9.4969,C54,S
7,0,3,"Martinez, Mr. Henry",male,,0,0,782729,14.5374,,S
8,0,3,"Thompson, Mr. Frank",male,17.5,0,1,717918,10.5797,,C
9,1,1,"Johnson, Mr. Robert",male,,1,2,602863,209.6291,,S
10,1,3,"Martin, Mr. William",male,18.61,0,0,565309,19.8632,,S
11,0,2,"Brown, Mr. Thomas",male,41.61,1,0,537910,24.3747,,S
12,1,3,"Taylor, Mr. Henry",male,14.93,0,1,189002,2.6678,,S
13,0,3,"Miller, Mr. William",male,16.95,1,0,420191,16.6967,,S
14,1,3,"Davis, Mrs. Margaret",female,16.47,0,1,848580,16.4015,,S
15,1,2,"Moore, Miss. Elizabeth",female,22.65,0,0,48989,7.0856,G18,S
16,0,1,"Thompson, Mr. William",male,52.29,8,1,829692,15.9563,,S
17,0,3,"Moore, Mr. Henry",male,33.17,1,0,570280,19.2988,,S
18,0,1,"Moore, Mr. James",male,60.23,1,0,356188,128.7663,,S
19,0,3,"Smith, Mr. Charles",male,54.48,3,0,122921,6.769,,S
20,1,3,"Jackson, Mrs. Nora",female,,0,0,766211,6.5112,,S
21,0,3,"Williams, Miss. Florence",female,25.92,0,1,10701,12.5422,,S
22,1,2,"Miller, Mrs. Alice",female,14.71,0,6,547609,11.8964,,S
23,1,3,"Moore, Miss. Margaret",female,14.89,0,0,170761,2.541,,Q
24,1,3,"Smith, Miss. Mary",female,16.81,0,0,909957,4.6855,D123,S
25,0,3,"Anderson, Miss. Elizabeth",female,,2,0,190479,14.2644,,S
26,1,1,"Davis, Mr. James",male,24.33,0,0,804795,30.2494,,S
27,0,3,"Smith, Mr. John",male,23.12,0,0,578325,21.7365,,S
28,0,1,"Wilson, Mr. John",male,22.18,0,1,50585,99.4064,,S
29,0,1,"Jones, Mr. William",male,48.95,0,1,722858,90.0331,,C
30,0,3,"Miller, Master. James",male,,0,0,880482,12.3466,,S
31,0,3,"Williams, Mrs. Nora",female,61.52,0,0,229265,6.0414,,S
32,0,3,"White, Mr. John",male,19.13,0,0,968879,17.8189,,S
33,0,2,"Miller, Mr. William",male,30.94,0,0,800385,8.8164,,C
34,1,2,"Martinez, Master. Henry",male,13.16,1,0,744733,33.7819,,S
35,0,3,"Martin, Dr. John",male,47.18,0,0,342683,30.6895,,S
36,0,1,"Taylor, Mr. Charles",male,,1,0,128714,77.556,,S
37,1,1,"Jackson, Mrs. Ida",female,41.86,0,0,435036,171.7767,,C
38,0,3,"Davis, Master. George",male,7.49,0,0,809301,4.7461,G117,S
39,1,1,"Miller, Miss. Elizabeth",female,,0,0,590784,100.2047,,Q
40,1,3,"Davis, Master. Edward",male,10.42,4,0,651013,11.1845,,C
41,1,2,"Moore, Mr. Frank",male,49.01,0,0,783205,29.2245,,S
42,1,3,"White, Mr. William",male,,0,1,345437,1.4381,,C
43,1,3,"Robinson, Mrs. Mary",female,26.24,0,0,46983,18.7278,,S
44,1,2,"Garcia, Mrs. Mary",female,0.42,1,0,885189,9.8001,,S
45,0,3,"Wilson, Master. Henry",male,12.22,0,0,617263,11.6096,,S
46,0,3,"White, Miss. Margaret",female,33.94,0,0,569910,40.2699,,C
47,0,2,"Garcia, Mr. John",male,45.77,1,0,577543,25.0413,,S
48,1,2,"White, Miss. Florence",female,,0,1,854397,22.7432,F95,S
49,1,3,"Jones, Master. Thomas",male,4.3,0,0,771595,14.3189,,S
50,0,1,"Martin, Mr. James",male,41.92,0,0,673411,148.4083,C6,S
51,1,1,"Johnson, Mrs. Mary",female,51.2,0,0,784190,122.6169,,C
52,0,1,"Moore, Mr. Charles",male,,4,1,295630,88.5046,,S
53,0,3,"Harris, Mr. Frank",male,24.9,0,1,714604,13.1619,,S
54,0,3,"Smith, Mr. Charles",male,,0,0,975267,12.5227,,C
55,0,3,"Martin, Mr. Henry",male,21.09,0,0,242614,10.7203,,C
56,0,3,"Miller, Mrs. Mary",female,0.92,0,0,575294,3.8105,,S
57,1,3,"Brown, Miss. Margaret",female,20.77,1,0,684399,16.4812,,S
58,1,3,"Moore, Miss. Margaret",female,20.75,0,0,521587,7.1149,A72,S
59,1,1,"Johnson, Mr. William",male,,1,0,969158,59.7284,,S
60,1,1,"Miller, Mr. Charles",male,30.67,0,1,409474,128.4058,,S
61,0,3,"Johnson, Mr. Edward",male,,0,0,225671,10.9151,,S
62,0,3,"Moore, Mr. William",male,24.48,0,0,144980,10.2736,,C
63,1,3,"Martinez, Mr. Edward",male,30.75,1,0,850791,12.6775,,S
64,0,3,"Williams, Mrs. Anna",female,21.04,0,0,689350,8.785,A117,C
65,0,3,"Smith, Mrs. Florence",female,,0,0,582219,39.702,,Q
66,1,3,"Wilson, Miss. Margaret",female,26.2,1,0,436490,36.1579,,S
67,0,3,"Anderson, Master. George",male,0.42,0,1,415844,35.5363,,S
68,0,2,"Smith, Mr. John",male,36.2,0,0,935265,21.478,,S
69,0,1,"Martin, Mr. Thomas",male,37.99,0,0,683561,41.3225,B104,C
70,0,2,"Thompson, Mr. Thomas",male,30.52,1,0,965445,31.9216,,S
71,0,1,"Taylor, Mr. Henry",male,50.49,0,0,803490,54.1974,,S
72,0,2,"Garcia, Master. Henry",male,4.61,0,6,769963,33.8694,,S
73,0,3,"Williams, Master. John",male,0.42,0,0,558099,6.4748,,C
74,1,1,"Moore, Miss. Florence",female,,0,0,250069,92.6501,,S
75,0,1,"Robinson, Mr. William",male,37.91,0,0,657018,152.3372,D127,S
